"ID";"FullName";"global_id";"ShortName";"AdmArea";"District";"Address";"Owner";"TestDate";"geoData";
"10";"Автомобильная заправочная станция № 47 «Газпромнефть-Центр»";"4539502";"АЗС № 47 «Газпромнефть-Центр»";"Западный административный округ";"район Проспект Вернадского";"Ленинский проспект, дом 142А";"ООО «Газпромнефть-Центр»";"21.03.2013";"{type=Point, coordinates=[37.504903394299, 55.665662172802]}";
"12";"Автомобильная заправочная станция № 138 «Газпромнефть-Центр»";"4539503";"АЗС № 138 «Газпромнефть-Центр»";"Северо-Восточный административный округ";"Алтуфьевский район";"Алтуфьевское шоссе, владение 10Б";"ООО «Газпромнефть-Центр»";"28.03.2013";"{type=Point, coordinates=[37.588435798614, 55.907389042515]}";
"54";"Автомобильная заправочная станция «ВэСКа» на Краснополянской улице, дом 1";"4539504";"АЗС «ВэСКа» на Краснополянской улице, дом 1";"Северный административный округ";"район Западное Дегунино";"Краснополянская улица, дом 1";"ООО «ВэСКа»";"12.08.2013";"{type=Point, coordinates=[37.484294354865, 55.884537271265]}";
"55";"Автомобильная заправочная станция «Компания ТРАССА» на 43-м километре Калужского шоссе, строение 2";"4539505";"АЗС «Компания ТРАССА» на 43-м километре Калужского шоссе, строение 2";"Троицкий административный округ";"поселение Краснопахорское";"43-й километр Калужского шоссе, строение 2";"ООО «Компания ТРАССА»";"18.04.2017";"{type=Point, coordinates=[37.295262136707, 55.455567914278]}";
"56";"Автомобильная заправочная станция «Транссервис-А.С.» на Краснохоломской набережной, владение 13А";"4539506";"АЗС «Транссервис-А.С.» на Краснохоломской набережной, владение 13А";"Центральный административный округ";"Таганский район";"Краснохолмская набережная, владение 13А";"ООО «Транссервис-А.С.»";"22.08.2013";"{type=Point, coordinates=[37.651331065513, 55.732444129682]}";
"57";"Автомобильная заправочная станция «ОЙЛ-ТРАСТ» на 35-м километре Московской Кольцевой Автодороги, владение 6";"4539507";"АЗС «ОЙЛ-ТРАСТ» на 35-м километре Московской Кольцевой Автодороги, владение 6";"Юго-Западный административный округ";"район Ясенево";"35-й километр Московской Кольцевой Автодороги, владение 6";"ООО «ОЙЛ-ТРАСТ»";"29.08.2013";"{type=Point, coordinates=[37.533993149942, 55.590762610728]}";
"62";"Автомобильная заправочная станция № 520 «Лукойл-ЦНП»";"4539508";"АЗС № 520 «Лукойл-ЦНП»";"Юго-Восточный административный округ";"район Текстильщики";"Грайвороновская улица, дом 1";"ООО «Лукойл-ЦНП»";"10.09.2013";"{type=Point, coordinates=[37.725192934953, 55.716212548629]}";
"67";"Автомобильная заправочная станция «Россервис» на Можайском шоссе, владение 55";"4539509";"АЗС «Россервис» на Можайском шоссе, владение 55";"Западный административный округ";"Можайский район";"Можайское шоссе, владение 55";"ООО «Россервис»";"26.09.2013";"{type=Point, coordinates=[37.390840707395, 55.713693396262]}";
"68";"Автомобильная заправочная станция № 18 «АЗС-Регион»";"4539510";"АЗС № 18 «АЗС-Регион»";"Троицкий административный округ";"поселение Троицк";"город Троицк, микрорайон В, дом 63";"ООО «АЗС-Регион»";"01.10.2013";"{type=Point, coordinates=[37.42164458859, 55.388155237]}";
"71";"Автомобильная заправочная станция № 597 «Лукойл-ЦНП»";"4539511";"АЗС № 597 «Лукойл-ЦНП»";"Южный административный округ";"Нагорный район";"Варшавское шоссе, владение 24А";"ООО «Лукойл-ЦНП»";"08.10.2013";"{type=Point, coordinates=[37.62225233121, 55.685864050828]}";
"76";"Автомобильная заправочная станция № 3 «Меркурий»";"4539512";"АЗС № 3 «Меркурий»";"Северо-Западный административный округ";"район Митино";"Пятницкое шоссе, дом 1";"ЗАО фирма «Меркурий»";"12.11.2013";"{type=Point, coordinates=[37.38714097251, 55.835458758646]}";
"78";"Автомобильная заправочная станция № 2 «Меркурий»";"4539513";"АЗС № 2 «Меркурий»";"Северо-Западный административный округ";"район Северное Тушино";"71-й километр Московской Кольцевой Автодороги, владение 9";"ЗАО фирма «Меркурий»";"12.11.2013";"{type=Point, coordinates=[37.400686067563, 55.863964863548]}";
"79";"Автомобильная заправочная станция «Альянс» на Варшавском шоссе, владение 206А, строение 1";"4539514";"АЗС «Альянс» на Варшавском шоссе, владение 206А, строение 1";"Юго-Западный административный округ";"район Южное Бутово";"Варшавское шоссе, владение 206А, строение 1";"ООО «Альянс»";"14.11.2013";"{type=Point, coordinates=[37.58152836362, 55.535806758096]}";
"82";"Автомобильная заправочная станция № 6 «Компания ТРАССА»";"4539515";"АЗС № 6 «Компания ТРАССА»";"Новомосковский административный округ";"поселение Московский";"37-й километр Киевского шоссе";"ООО «Компания ТРАССА»";"14.04.2017";"{type=Point, coordinates=[37.18549776383, 55.566316941044]}";
"83";"Автомобильная заправочная станция № 6 «ОЙЛ-ТРАСТ»";"4539516";"АЗС № 6 «ОЙЛ-ТРАСТ»";"Южный административный округ";"район Бирюлёво Восточное";"Загорьевский проезд, владение 12";"ООО «ОЙЛ-ТРАСТ»";"10.12.2013";"{type=Point, coordinates=[37.684147790612, 55.577671177591]}";
"89";"Автомобильная заправочная станция «Транссервис-А.С.» на Гончарной набережной, владение 9, строение 2";"4539517";"АЗС «Транссервис-А.С.» на Гончарной набережной, владение 9, строение 2";"Центральный административный округ";"Таганский район";"Гончарная набережная, владение 9, строение 2";"ООО «Транссервис-А.С.»";"06.02.2014";"{type=Point, coordinates=[37.648293221288, 55.736749875438]}";
"92";"Автомобильная заправочная станция № 235 «Татнефть-АЗС-Запад»";"4539518";"АЗС № 235 «Татнефть-АЗС-Запад»";"Западный административный округ";"район Фили-Давыдково";"Кутузовский проспект, владение 72";"ООО «Татнефть-АЗС-Запад»";"04.03.2014";"{type=Point, coordinates=[37.462253204733, 55.727201168572]}";
"94";"Автомобильная заправочная станция № 208 «Татнефть-АЗС-Запад»";"4539519";"АЗС № 208 «Татнефть-АЗС-Запад»";"Западный административный округ";"Можайский район";"улица Маршала Неделина, владение 18";"ООО «Татнефть-АЗС-Запад»";"04.03.2014";"{type=Point, coordinates=[37.410815771746, 55.725589333891]}";
"96";"Многофункциональный автомобильный заправочный комплекс «Медведково» «Петрол Комплекс Эквипмент Кампани»";"4539520";"МАЗК «Медведково» «Петрол Комплекс Эквипмент Кампани»";"Северо-Восточный административный округ";"район Бибирево";"87-й километр Московской Кольцевой Автодороги, владение 14";"ЗАО «Петрол Комплекс Эквипмент Кампани»";"05.03.2014";"{type=Point, coordinates=[37.631933263886, 55.898447674738]}";
"97";"Многофункциональный автомобильный заправочный комплекс «Гольяново» «Петрол Комплекс Эквипмент Кампани»";"4539521";"МАЗК «Гольяново» «Петрол Комплекс Эквипмент Кампани»";"Восточный административный округ";"район Гольяново";"102-й километр Московской Кольцевой Автодороги, владение 20";"ЗАО «Петрол Комплекс Эквипмент Кампани»";"05.03.2014";"{type=Point, coordinates=[37.833814841595, 55.82503803127]}";
"99";"Многофункциональный автомобильный заправочный комплекс «Саяны» «Петрол Комплекс Эквипмент Кампани»";"4539522";"МАЗК «Саяны» «Петрол Комплекс Эквипмент Кампани»";"Северо-Восточный административный округ";"Ярославский район";"Ярославское шоссе, владение 116";"ЗАО «Петрол Комплекс Эквипмент Кампани»";"05.03.2014";"{type=Point, coordinates=[37.708576853142, 55.867594707393]}";
"100";"Автомобильная заправочная станция № 261 «Татнефть-АЗС-Запад»";"4539523";"АЗС № 261 «Татнефть-АЗС-Запад»";"Центральный административный округ";"район Замоскворечье";"Жуков проезд, владение 15А";"ООО «Татнефть-АЗС-Запад»";"06.03.2014";"{type=Point, coordinates=[37.638492032116, 55.723309393597]}";
